"Habitat"	"Microbial.Clusters"
"SB041117TAWCSCB54D25BR2TR1I310"	"3"	"M.3"
"SB050817TAWCSCB71D20BR2TR1I349"	"3"	"M.3"
"SB050817TAWCSCB61D11BR1TR1I336"	"3"	"M.3"
"SB050817TAWCSCB61D11BR1TR1I345"	"3"	"M.3"
"SB050817TAWCSCB62D9BR1TR1I337"	"3"	"M.3"
"SB050817TAWCSCB62D9BR1TR1I346"	"3"	"M.3"
"SB050817TAWCSCB73D12BR1TR1I351"	"3"	"M.3"
"SB050817TAWCSCB72D20BR1TR1I341"	"3"	"M.3"
"SB050817TAWCSCB72D20BR1TR1I350"	"2"	"M.3"
"SB050817TAWCSCB73D12BR1TR1I342"	"3"	"M.2"
"SB050817TAWCSCB71D20BR1TR1I340"	"3"	"M.3"
"SB050817TAWCSCB63D10BR1TR1I338"	"3"	"M.3"
"SB050817TAWCSCB54D25BR1TR1I343"	"2"	"M.3"
"SB050817TAWCSCB63D10BR2TR1I347"	"3"	"M.3"
"SB050817TAWCSCB53D25BR2TR1I333"	"2"	"M.3"
"SB050817TAWCSCB22D11BR1TR1I322"	"1"	"M.3"
"SB050817TAWCSCB31D13BR1TR1I323"	"1"	"M.3"
"SB050817TAWCSCB32D10BR2TR1I324"	"1"	"M.3"
"SB050817TAWCSCB33CD5BR1TR1I320"	"3"	"M.3"
"SB050817TAWCSCB33CD24BR1TR1I325"	"1"	"M.3"
"SB050817TAWCSCB54D25BR1TR1I334"	"3"	"M.3"
"SB050817TAWCSCB43CD27BR1TR1I328"	"1"	"M.3"
"SB050817TAWCSCB44D31BR1TR1I329"	"1"	"M.3"
"SB050817TAWCSCB51D33BR1TR1I330"	"1"	"M.3"
"SB050817TAWCSCB53D5BR1TR1I318"	"3"	"M.3"
"SB050817TAWCSCB42CD26BR1TR1I327"	"1"	"M.3"
"SB060517TAWCSCB71D20BR1TR1I383"	"2"	"M.2"
"SB060517TAWCSCB54D25BR1TR1I368"	"3"	"M.2"
"SB060517TAWCSCB54D25BR1TR1I377"	"2"	"M.2"
"SB060517TAWCSCB71D20BR1TR1I374"	"3"	"M.2"
"SB060517TAWCSCB61D11BR1TR1I370"	"3"	"M.2"
"SB060517TAWCSCB73D12BR1TR1I385"	"2"	"M.2"
"SB060517TAWCSCB62D9BR1TR1I371"	"3"	"M.2"
"SB060517TAWCSCB62D9BR1TR1I380"	"2"	"M.2"
"SB060517TAWCSCB63D10BR1TR1I372"	"3"	"M.1"
"SB060517TAWCSCB63D10BR1TR1I381"	"2"	"M.2"
"SB060517TAWCSCB53D25BR2TR1I367"	"1"	"M.2"
"SB060517TAWCSCB61D11BR1TR1I379"	"2"	"M.2"
"SB060517TAWCSCB53D5BR1TR1I352"	"3"	"M.1"
"SB060517TAWCSCB73D12BR1TR1I376"	"3"	"M.2"
"SB060517TAWCSCB31D13BR1TR1I357"	"1"	"M.1"
"SB060517TAWCSCB22D11BR2TR1I356"	"1"	"M.1"
"SB060517TAWCSCB44D31BR1TR1I363"	"1"	"M.3"
"SB060517TAWCSCB44D5BR1TR1I353"	"3"	"M.1"
"SB060517TAWCSCB51D33BR1TR1I364"	"1"	"M.2"
"SB060517TAWCSCB43CD27BR1TR1I362"	"1"	"M.2"
"SB060517TAWCSCB42CD26BR1TR1I361"	"1"	"M.2"
"SB060517TAWCSCB33CD24BR1TR1I359"	"1"	"M.3"
"SB060517TAWCSCB33CD5BR1TR1I354"	"3"	"M.1"
"SB060517TAWCSCB32D10BR2TR1I358"	"1"	"M.3"
"SB062617TAWCSCB44D31BR1TR1I363"	"1"	"M.1"
"SB062617TAWCSCB43CD27BR1TR1I362"	"1"	"M.1"
"SB062617TAWCSCB53D25BR1TR1I366"	"1"	"M.2"
"SB062617TAWCSCB31D13BR1TR1I357"	"1"	"M.1"
"SB071017TAWCSCB73D12BR1TR1I419"	"2"	"M.2"
"SB071017TAWCSCB73D12BR1TR1I410"	"3"	"M.2"
"SB071017TAWCSCB72D20BR1TR1I409"	"3"	"M.2"
"SB071017TAWCSCB63D10BR1TR1I406"	"3"	"M.1"
"SB071017TAWCSCB62D9BR1TR1I405"	"3"	"M.2"
"SB071017TAWCSCB61D11BR1TR1I404"	"3"	"M.1"
"SB071017TAWCSCB71D20BR1TR1I417"	"2"	"M.2"
"SB071017TAWCSCB71D20BR1TR1I408"	"3"	"M.2"
"SB071017TAWCSCB54D25BR2TR1I412"	"2"	"M.2"
"SB071017TAWCSCB54D25BR1TR1I402"	"3"	"M.1"
"SB071017TAWCSCB44D31BR1TR1I397"	"1"	"M.2"
"SB071017TAWCSCB51D33BR1TR1I398"	"1"	"M.2"
"SB071017TAWCSCB31D13BR1TR1I391"	"1"	"M.1"
"SB071017TAWCSCB32D10BR1TR1I392"	"1"	"M.1"
"SB071017TAWCSCB33CD5BR1TR1I388"	"3"	"M.1"
"SB071017TAWCSCB22D11BR2TR1I390"	"1"	"M.1"
"SB071017TAWCSCB42CD26BR1TR1I395"	"1"	"M.1"
"SB071017TAWCSCB43CD27BR1TR1I396"	"1"	"M.1"
"SB071017TAWCSCB44D5BR1TR1I387"	"3"	"M.1"
"SB071017TAWCSCB33CD24BR1TR1I393"	"1"	"M.1"
"SB080717TAWCSCB61D11BR1TR1I447"	"2"	"M.2"
"SB080717TAWCSCB53D5BR1TR1I420"	"3"	"M.1"
"SB080717TAWCSCB54D25BR2TR1I437"	"3"	"M.2"
"SB080717TAWCSCB54D25BR2TR1I446"	"2"	"M.2"
"SB080717TAWCSCB71D20BR1TR1I442"	"3"	"M.2"
"SB080717TAWCSCB71D20BR1TR1I451"	"2"	"M.2"
"SB080717TAWCSCB62D9BR1TR1I439"	"3"	"M.2"
"SB080717TAWCSCB73D12BR1TR1I453"	"2"	"M.2"
"SB080717TAWCSCB63D10BR1TR1I440"	"3"	"M.1"
"SB080717TAWCSCB72D20BR1TR1I443"	"3"	"M.2"
"SB080717TAWCSCB63D10BR1TR1I449"	"2"	"M.2"
"SB080717TAWCSCB72D20BR1TR1I452"	"2"	"M.2"
"SB080717TAWCSCB73D12BR1TR1I444"	"3"	"M.2"
"SB080717TAWCSCB51D33BR1TR1I432"	"1"	"M.2"
"SB080717TAWCSCB62D9BR1TR1I448"	"2"	"M.2"
"SB080717TAWCSCB44D31BR1TR1I431"	"1"	"M.1"
"SB080717TAWCSCB31D13BR1TR1I425"	"1"	"M.1"
"SB080717TAWCSCB44D5BR1TR1I421"	"3"	"M.1"
"SB080717TAWCSCB32D10BR1TR1I426"	"1"	"M.1"
"SB080717TAWCSCB33CD5BR1TR1I422"	"3"	"M.1"
"SB080717TAWCSCB33CD24BR1TR1I427"	"1"	"M.1"
"SB080717TAWCSCB42CD26BR1TR1I429"	"1"	"M.2"
"SB080717TAWCSCB43CD27BR1TR1I430"	"1"	"M.1"
"SB080717TAWCSCB22D11BR1TR1I423"	"1"	"M.1"
"95_FiltCtrl_Surface_R1"	"3"	"M.1"
"SB082817TAWCSCB54D25BR1TR1I470"	"3"	"M.2"
"SB082817TAWCSCB53D25BR1TR1I468"	"1"	"M.2"
"SB082817TAWCSCB73D12BR1TR1I478"	"3"	"M.2"
"SB082817TAWCSCB44D5BR1TR1I455"	"3"	"M.1"
"SB082817TAWCSCB22D11BR2TR1I458"	"1"	"M.1"
"SB082817TAWCSCB63D10BR1TR1I483"	"2"	"M.2"
"SB082817TAWCSCB32D10BR1TR1I460"	"1"	"M.1"
"SB082817TAWCSCB63D10BR1TR1I474"	"3"	"M.2"
"SB082817TAWCSCB44D31BR1TR1I465"	"1"	"M.2"
"SB082817TAWCSCB31D13BR1TR1I459"	"1"	"M.1"
"SB082817TAWCSCB62D9BR1TR1I473"	"3"	"M.2"
"SB082817TAWCSCB62D9BR1TR1I482"	"2"	"M.2"
"SB082817TAWCSCB42CD26BR1TR1I463"	"1"	"M.1"
"SB082817TAWCSCB54D25BR2TR1I480"	"2"	"M.2"
"SB082817TAWCSCB43CD27BR1TR1I464"	"1"	"M.1"
"SB082817TAWCSCB53D5BR1TR1I454"	"3"	"M.2"
"SB082817TAWCSCB33CD24BR1TR1I461"	"1"	"M.1"
"SB082817TAWCSCB33CD5BR1TR1I456"	"3"	"M.1"
"SB082817TAWCSCB51D33BR1TR1I466"	"1"	"M.1"
"SB091817TAWCSCB53D25BR2TR1I503"	"2"	"M.2"
"SB091817TAWCSCB63D10BR1TR1I518"	"2"	"M.2"
"SB091817TAWCSCB63D10BR1TR1I508"	"3"	"M.2"
"SB091817TAWCSCB72D20BR1TR1I511"	"3"	"M.2"
"SB091817TAWCSCB62D9BR1TR1I517"	"2"	"M.2"
"SB091817TAWCSCB62D9BR1TR1I507"	"3"	"M.2"
"SB091817TAWCSCB71D20BR1TR1I520"	"2"	"M.2"
"SB091817TAWCSCB71D20BR1TR1I510"	"3"	"M.2"
"SB091817TAWCSCB54D25BR2TR1I505"	"3"	"M.2"
"SB091817TAWCSCB53D5BR1TR1I488"	"3"	"M.2"
"SB091817TAWCSCB22D11BR2TR1I492"	"1"	"M.1"
"SB091817TAWCSCB44D31BR1TR1I499"	"1"	"M.2"
"SB091817TAWCSCB44D5BR1TR1I489"	"3"	"M.2"
"SB091817TAWCSCB43CD27BR1TR1I498"	"1"	"M.2"
"SB091817TAWCSCB42CD26BR1TR1I497"	"1"	"M.2"
"SB091817TAWCSCB33CD24BR1TR1I495"	"1"	"M.1"
"SB091817TAWCSCB33CD5BR1TR1I490"	"3"	"M.1"
"SB091817TAWCSCB32D10BR1TR1I494"	"1"	"M.1"
"SB091817TAWCSCB31D13BR1TR1I493"	"1"	"M.1"
"SB091817TAWCSCB72D20BR1TR1I521"	"2"	"M.2"
"SB091817TAWCSCB51D33BR1TR1I500"	"2"	"M.2"
"SB091817TAWCSCB73D12BR1TR1I522"	"2"	"M.2"
