SampleID	StationName	DateMMDDYY	DepthName	qPCR ct	CollectionAgency	sequencing_ID	TrimCount
SB050817TAWCSCB53D5BR1TR1I318	CB53	050817	01		DNR	e_15_1	123444.0
SB050817TAWCSCB53D25BR2TR1I333	CB53	050817	25		DNR	e_15_1	162463.0
SB050817TAWCSCB54D25BR1TR1I334	CB54	050817	01		ODU	e_15_1	95714.0
SB050817TAWCSCB54D25BR1TR1I343	CB54	050817	25		ODU	e_15_1	160238.0
SB050817TAWCSCB71D20BR1TR1I340	CB71	050817	01		ODU	e_15_1	134998.0
SB050817TAWCSCB71D20BR2TR1I349	CB71	050817	20		ODU	e_15_1	163318.0
SB050817TAWCSCB61D11BR1TR1I336	CB61	050817	01		ODU	e_15_2	422045.0
SB050817TAWCSCB61D11BR1TR1I345	CB61	050817	11		ODU	e_15_1	78924.0
SB050817TAWCSCB62D9BR1TR1I337	CB62	050817	01		ODU	e_15_1	171807.0
SB050817TAWCSCB62D9BR1TR1I346	CB62	050817	09		ODU	e_15_1	171999.0
SB050817TAWCSCB63D10BR1TR1I338	CB63	050817	01		ODU	e_15_1	497889.0
SB050817TAWCSCB72D20BR1TR1I341	CB72	050817	01		ODU	e_15_1	102772.0
SB050817TAWCSCB63D10BR2TR1I347	CB63	050817	10		ODU	e_15_1	66490.0
SB050817TAWCSCB72D20BR1TR1I350	CB72	050817	20		ODU	e_15_1	89339.0
SB050817TAWCSCB73D12BR1TR1I342	CB73	050817	01		ODU	e_15_1	55478.0
SB050817TAWCSCB73D12BR1TR1I351	CB73	050817	12		ODU	e_15_1	159841.0
SB060517TAWCSCB22D11BR2TR1I356	CB22	060517	11		DNR	e_15_1	66689.0
SB060517TAWCSCB31D13BR1TR1I357	CB31	060517	13		DNR	e_15_1	76299.0
SB062617TAWCSCB31D13BR1TR1I357	CB31	062617	13	17.3800277	DNR	spr14	166807.0
SB060517TAWCSCB32D10BR2TR1I358	CB32	060517	10		DNR	e_15_1	169733.0
SB060517TAWCSCB33CD5BR1TR1I354	CB33C	060517	01		DNR	e_15_1	74259.0
SB060517TAWCSCB33CD24BR1TR1I359	CB33C	060517	24		DNR	e_15_1	118220.0
SB060517TAWCSCB42CD26BR1TR1I361	CB42C	060517	26		DNR	e_15_1	28896.0
SB060517TAWCSCB43CD27BR1TR1I362	CB43C	060517	27		DNR	e_15_1	137838.0
SB062617TAWCSCB43CD27BR1TR1I362	CB43C	062617	27	19.66	DNR	spr14	48899.0
SB060517TAWCSCB44D5BR1TR1I353	CB44	060517	01		DNR	e_15_1	165290.0
SB060517TAWCSCB44D31BR1TR1I363	CB44	060517	31		DNR	e_15_1	115555.0
SB062617TAWCSCB44D31BR1TR1I363	CB44	062617	31	19.21025614	DNR	spr14	48726.0
SB060517TAWCSCB51D33BR1TR1I364	CB51	060517	33		DNR	e_15_1	56281.0
SB060517TAWCSCB53D5BR1TR1I352	CB53	060517	01		DNR	e_15_1	86490.0
SB060517TAWCSCB53D25BR2TR1I367	CB53	060517	25		DNR	e_15_1	68252.0
SB062617TAWCSCB53D25BR1TR1I366	CB53	062617	25	19.62723795	DNR	spr14	125912.0
SB060517TAWCSCB54D25BR1TR1I368	CB54	060517	01		ODU	e_15_1	83809.0
SB060517TAWCSCB54D25BR1TR1I377	CB54	060517	25		ODU	e_15_1	464363.0
SB060517TAWCSCB71D20BR1TR1I374	CB71	060517	01		ODU	e_15_1	82243.0
SB060517TAWCSCB71D20BR1TR1I383	CB71	060517	20		ODU	e_15_1	125552.0
SB060517TAWCSCB61D11BR1TR1I370	CB61	060517	01		ODU	e_15_1	145231.0
SB060517TAWCSCB61D11BR1TR1I379	CB61	060517	11		ODU	e_15_1	551660.0
SB060517TAWCSCB62D9BR1TR1I371	CB62	060517	01		ODU	e_15_1	119135.0
SB060517TAWCSCB62D9BR1TR1I380	CB62	060517	09		ODU	e_15_1	168853.0
SB060517TAWCSCB63D10BR1TR1I372	CB63	060517	01		ODU	e_15_1	111249.0
SB060517TAWCSCB63D10BR1TR1I381	CB63	060517	10		ODU	e_15_1	175166.0
SB060517TAWCSCB73D12BR1TR1I376	CB73	060517	01		ODU	e_15_1	98672.0
SB060517TAWCSCB73D12BR1TR1I385	CB73	060517	12		ODU	e_15_1	30299.0
SB071017TAWCSCB22D11BR2TR1I390	CB22	071017	11		DNR	e_15_1	212880.0
SB071017TAWCSCB31D13BR1TR1I391	CB31	071017	13		DNR	e_15_1	79147.0
SB071017TAWCSCB32D10BR1TR1I392	CB32	071017	10	18.66	DNR	spr14	83435.0
SB071017TAWCSCB33CD5BR1TR1I388	CB33C	071017	01		DNR	e_15_1	79508.0
SB071017TAWCSCB33CD24BR1TR1I393	CB33C	071017	24		DNR	e_15_1	189702.0
SB071017TAWCSCB42CD26BR1TR1I395	CB42C	071017	26		DNR	e_15_1	89993.0
SB071017TAWCSCB43CD27BR1TR1I396	CB43C	071017	27		DNR	e_15_1	110498.0
SB071017TAWCSCB44D5BR1TR1I387	CB44	071017	01		DNR	e_15_1	128829.0
SB071017TAWCSCB44D31BR1TR1I397	CB44	071017	31		DNR	e_15_1	107572.0
SB071017TAWCSCB51D33BR1TR1I398	CB51	071017	33		DNR	e_15_1	82023.0
SB071017TAWCSCB53D25BR2TR1I401	CB53	071017	25	18.5	DNR	spr14	108146.0
SB071017TAWCSCB54D25BR1TR1I402	CB54	071017	01		ODU	e_15_1	103994.0
SB071017TAWCSCB54D25BR2TR1I412	CB54	071017	25		ODU	e_15_1	117180.0
SB071017TAWCSCB71D20BR1TR1I408	CB71	071017	01		ODU	e_15_1	412534.0
SB071017TAWCSCB71D20BR1TR1I417	CB71	071017	20		ODU	e_15_2	70238.0
SB071017TAWCSCB61D11BR1TR1I404	CB61	071017	01		ODU	e_15_2	98685.0
SB071017TAWCSCB62D9BR1TR1I405	CB62	071017	01		ODU	e_15_1	185804.0
SB071017TAWCSCB63D10BR1TR1I406	CB63	071017	01		ODU	e_15_1	81313.0
SB071017TAWCSCB72D20BR1TR1I409	CB72	071017	01		ODU	e_15_1	125029.0
SB071017TAWCSCB73D12BR1TR1I410	CB73	071017	01		ODU	e_15_1	115594.0
SB071017TAWCSCB73D12BR1TR1I419	CB73	071017	12		ODU	e_15_2	70111.0
SB080717TAWCSCB22D11BR1TR1I423	CB22	080717	11	17.47	DNR	spr14	173353.0
SB082817TAWCSCB22D11BR2TR1I458	CB22	082817	11	17.56	DNR	spr14	106088.0
SB080717TAWCSCB31D13BR1TR1I425	CB31	080717	13		DNR	e_15_2	188823.0
SB082817TAWCSCB31D13BR1TR1I459	CB31	082817	13		DNR	e_15_2	316529.0
SB082817TAWCSCB32D10BR1TR1I460	CB32	082817	10		DNR	e_15_2	63666.0
SB080717TAWCSCB32D10BR1TR1I426	CB32	080717	10	17.42	DNR	spr14	122717.0
SB080717TAWCSCB33CD5BR1TR1I422	CB33C	080717	01		DNR	e_15_2	96205.0
SB082817TAWCSCB33CD5BR1TR1I456	CB33C	082817	01		DNR	e_15_2	38109.0
SB082817TAWCSCB33CD24BR1TR1I461	CB33C	082817	24		DNR	e_15_2	66376.0
SB080717TAWCSCB33CD24BR1TR1I427	CB33C	080717	24	18.43	DNR	spr14	137188.0
SB080717TAWCSCB42CD26BR1TR1I429	CB42C	080717	26		DNR	e_15_2	482370.0
SB082817TAWCSCB42CD26BR1TR1I463	CB42C	082817	26		DNR	e_15_2	537183.0
SB080717TAWCSCB43CD27BR1TR1I430	CB43C	080717	27		DNR	e_15_2	81004.0
SB082817TAWCSCB43CD27BR1TR1I464	CB43C	082817	27		DNR	e_15_2	146243.0
95_FiltCtrl_Surface_R1	CB44	080717	00		DNR	e_15_1	220773.0
SB080717TAWCSCB44D5BR1TR1I421	CB44	080717	01		DNR	e_15_2	243882.0
SB082817TAWCSCB44D5BR1TR1I455	CB44	082817	01		DNR	e_15_2	65659.0
SB080717TAWCSCB44D31BR1TR1I431	CB44	080717	31		DNR	e_15_2	81015.0
SB082817TAWCSCB44D31BR1TR1I465	CB44	082817	31		DNR	e_15_2	51167.0
SB080717TAWCSCB51D33BR1TR1I432	CB51	080717	33		DNR	e_15_2	242724.0
SB082817TAWCSCB51D33BR1TR1I466	CB51	082817	33	19.156	DNR	spr14	97883.0
SB080717TAWCSCB53D5BR1TR1I420	CB53	080717	01		DNR	e_15_2	40712.0
SB082817TAWCSCB53D5BR1TR1I454	CB53	082817	01		DNR	e_15_2	48378.0
SB082817TAWCSCB53D25BR1TR1I468	CB53	082817	25		DNR	e_15_2	66197.0
SB082817TAWCSCB54D25BR1TR1I470	CB54	082817	01		ODU	e_15_2	71343.0
SB080717TAWCSCB54D25BR2TR1I437	CB54	080717	01	21.80765841	ODU	spr14	10476.0
SB080717TAWCSCB54D25BR2TR1I446	CB54	080717	25		ODU	e_15_2	109095.0
SB082817TAWCSCB54D25BR2TR1I480	CB54	082817	25		ODU	e_15_2	74556.0
SB080717TAWCSCB71D20BR1TR1I442	CB71	080717	01		ODU	e_15_2	88133.0
SB080717TAWCSCB71D20BR1TR1I451	CB71	080717	20	18.66649027	ODU	spr14	87592.0
SB080717TAWCSCB61D11BR1TR1I447	CB61	080717	11		ODU	e_15_2	48655.0
SB080717TAWCSCB62D9BR1TR1I439	CB62	080717	01		ODU	e_15_2	497131.0
SB082817TAWCSCB62D9BR1TR1I473	CB62	082817	01		ODU	e_15_2	528502.0
SB082817TAWCSCB62D9BR1TR1I482	CB62	082817	09		ODU	e_15_2	199708.0
SB080717TAWCSCB62D9BR1TR1I448	CB62	080717	09	19.78842496	ODU	spr14	65401.0
SB080717TAWCSCB63D10BR1TR1I440	CB63	080717	01		ODU	e_15_2	39813.0
SB082817TAWCSCB63D10BR1TR1I474	CB63	082817	01		ODU	e_15_2	63715.0
SB080717TAWCSCB72D20BR1TR1I443	CB72	080717	01	19.61449367	ODU	spr14	55510.0
SB080717TAWCSCB63D10BR1TR1I449	CB63	080717	10		ODU	e_15_2	66443.0
SB082817TAWCSCB63D10BR1TR1I483	CB63	082817	10		ODU	e_15_2	137613.0
SB080717TAWCSCB72D20BR1TR1I452	CB72	080717	20		ODU	e_15_2	76517.0
SB080717TAWCSCB73D12BR1TR1I444	CB73	080717	01		ODU	e_15_2	262334.0
SB082817TAWCSCB73D12BR1TR1I478	CB73	082817	01		ODU	e_15_2	62762.0
SB080717TAWCSCB73D12BR1TR1I453	CB73	080717	12	18.95106759	ODU	spr14	101147.0
SB091817TAWCSCB22D11BR2TR1I492	CB22	091817	11	18.36273322	DNR	spr14	81326.0
SB091817TAWCSCB31D13BR1TR1I493	CB31	091817	13		DNR	e_15_2	63647.0
SB091817TAWCSCB32D10BR1TR1I494	CB32	091817	10		DNR	e_15_2	75644.0
SB091817TAWCSCB33CD5BR1TR1I490	CB33C	091817	01		DNR	e_15_2	381819.0
SB091817TAWCSCB33CD24BR1TR1I495	CB33C	091817	24		DNR	e_15_2	57500.0
SB091817TAWCSCB42CD26BR1TR1I497	CB42C	091817	26		DNR	e_15_2	673213.0
SB091817TAWCSCB43CD27BR1TR1I498	CB43C	091817	27		DNR	e_15_2	126186.0
SB091817TAWCSCB44D5BR1TR1I489	CB44	091817	01	18.90534978	DNR	spr14	121166.0
SB091817TAWCSCB44D31BR1TR1I499	CB44	091817	31		DNR	e_15_2	107526.0
SB091817TAWCSCB51D33BR1TR1I500	CB51	091817	33		DNR	e_15_2	92072.0
SB091817TAWCSCB53D5BR1TR1I488	CB53	091817	01		DNR	e_15_2	489219.0
SB091817TAWCSCB53D25BR2TR1I503	CB53	091817	25		DNR	e_15_2	80911.0
SB091817TAWCSCB54D25BR2TR1I505	CB54	091817	01	22.86488971	ODU	spr14	10179.0
SB091817TAWCSCB71D20BR1TR1I510	CB71	091817	01		ODU	e_15_2	41343.0
SB091817TAWCSCB71D20BR1TR1I520	CB71	091817	20		ODU	e_15_2	114181.0
SB091817TAWCSCB62D9BR1TR1I507	CB62	091817	01		ODU	e_15_2	54247.0
SB091817TAWCSCB62D9BR1TR1I517	CB62	091817	09	18.37072357	ODU	spr14	142046.0
SB091817TAWCSCB72D20BR1TR1I511	CB72	091817	01		ODU	e_15_2	75152.0
SB091817TAWCSCB63D10BR1TR1I508	CB63	091817	01	18.49768141	ODU	spr14	169847.0
SB091817TAWCSCB63D10BR1TR1I518	CB63	091817	10		ODU	e_15_2	56800.0
SB091817TAWCSCB72D20BR1TR1I521	CB72	091817	20		ODU	e_15_2	47539.0
SB091817TAWCSCB73D12BR1TR1I522	CB73	091817	12	18.23865545	ODU	spr14	136818.0
