"OEU.1"	"OEU.2"	"OEU.3"	"OEU.4"	"OEU.5"	"OEU.6"	"OEU.7"	"OEU.8"	"OEU.9"	"OEU.10"	"OEU.11"	"OEU.12"	"OEU.13"	"OEU.14"	"OEU.15"	"OEU.16"	"OEU.17"	"OEU.18"	"OEU.19"	"OEU.20"	"OEU.21"	"OEU.22"	"OEU.23"	"OEU.24"	"OEU.25"	"OEU.26"	"OEU.27"	"OEU.28"	"OEU.29"	"OEU.30"	"OEU.31"	"OEU.32"	"OEU.33"	"OEU.34"	"OEU.35"	"OEU.36"	"OEU.37"	"OEU.38"	"OEU.39"	"OEU.40"	"OEU.41"	"OEU.42"	"OEU.43"	"OEU.44"	"OEU.45"	"OEU.46"	"OEU.47"	"OEU.48"	"OEU.49"	"OEU.50"	"OEU.51"	"OEU.52"	"OEU.53"	"OEU.54"	"OEU.55"	"OEU.56"	"OEU.57"	"OEU.58"	"OEU.59"	"OEU.60"	"OEU.61"	"OEU.62"	"OEU.63"	"OEU.64"	"OEU.65"	"OEU.66"	"OEU.67"	"OEU.68"	"OEU.69"	"OEU.70"	"OEU.71"	"OEU.72"	"OEU.73"	"OEU.74"	"OEU.75"	"OEU.76"	"OEU.77"	"OEU.78"	"OEU.79"	"OEU.80"	"OEU.81"	"OEU.82"	"OEU.83"	"OEU.84"	"OEU.85"	"OEU.86"	"OEU.87"	"OEU.88"	"OEU.89"	"OEU.90"	"OEU.91"	"OEU.92"	"OEU.93"	"OEU.94"	"OEU.95"	"OEU.96"	"OEU.97"	"OEU.98"	"OEU.99"	"OEU.100"	"OEU.101"	"OEU.102"	"OEU.103"	"OEU.104"	"OEU.105"	"OEU.106"	"OEU.107"	"OEU.108"	"OEU.109"	"OEU.110"	"OEU.111"	"OEU.112"	"OEU.113"	"OEU.114"	"OEU.115"	"OEU.116"	"OEU.117"	"OEU.118"	"OEU.119"	"OEU.120"	"OEU.121"	"OEU.122"	"OEU.123"	"OEU.124"	"OEU.125"	"OEU.126"	"OEU.127"	"OEU.128"
"SB071116TAWCSCB54D25BR1TR1I157"	10275	0	1657	6629	994	0	0	35134	0	27511	8286	0	0	0	0	0	0	331	1657	1326	3646	0	663	0	0	9281	50713	35134	994	0	331	7955	0	994	49718	0	0	0	0	0	331	1989	0	331	4640	331	0	0	0	0	0	331	663	0	331	6629	0	0	331	0	0	0	994	0	1657	0	0	1326	3315	1326	994	1657	331	0	331	0	0	0	0	13590	331	34140	4309	0	0	3315	0	0	0	0	331	331	0	2983	663	0	0	331	0	0	994	0	0	0	8286	0	60988	49055	22870	23533	120981	72589	4640	35134	5635	663	1326	331	0	24528	0	2320	0	2320	663	1657	0	0
"SB071116TAWCSCB53D25BR2TR1I156"	3646	0	1989	1657	663	0	0	25522	0	36460	9944	663	0	331	0	331	0	663	663	1989	3315	0	331	0	0	10938	36460	27842	1657	0	663	2652	0	663	42758	0	994	331	331	0	0	3315	0	0	7955	663	331	0	0	331	0	0	1326	0	331	19556	0	0	331	0	994	663	331	0	5635	663	663	1326	3977	663	0	2320	663	0	331	0	0	0	0	9281	663	29831	331	0	0	2652	0	0	0	331	0	0	0	994	3977	0	0	0	0	331	663	0	0	0	2320	0	67617	61651	29500	26516	135565	73252	4640	33808	3977	994	3977	331	331	16573	0	9281	0	2652	994	1326	0	0
"SB071116TAWCSCB63D10BR1TR1I163"	9281	0	2983	663	0	331	0	23865	331	53033	12927	0	0	0	0	331	0	1989	4972	3646	3977	0	663	331	0	8618	31157	37123	2320	331	0	3315	0	331	36792	0	0	0	663	0	331	4640	0	331	5635	0	0	331	0	331	0	0	0	0	0	3977	0	0	1326	0	0	994	663	0	2320	331	994	994	2320	2320	0	3646	1657	0	0	0	0	0	0	4640	0	28505	1989	0	0	4640	0	0	0	0	1989	331	0	3315	663	663	0	0	0	0	3315	0	0	0	7955	0	70600	41100	27842	22539	114352	54690	2983	34471	8949	2983	6961	2983	0	12595	0	1989	0	1989	2652	1657	0	0
"SB071116TAWCSCB52D29BR1TR1I154"	7623	0	5303	39775	3315	0	663	26848	0	24528	3977	663	0	1326	663	0	0	663	994	4640	1326	0	663	0	0	8949	14584	24196	331	0	1657	1326	0	1657	21213	331	0	331	0	331	2652	3977	1657	0	2983	0	0	0	0	663	0	331	0	0	0	4640	994	0	0	0	0	0	1657	0	1657	0	994	0	2652	1989	0	5303	0	0	1326	0	1657	0	0	3646	994	27511	1657	0	0	4640	0	0	0	0	331	0	0	1657	994	0	0	0	0	1326	331	0	0	0	3315	2983	67285	68280	23202	29500	202519	67285	4640	34140	3977	331	1989	663	0	7623	0	1989	0	1657	0	0	0	0
"SB071116TAWCSCB53D25BR2TR2I615"	5635	6629	994	994	0	0	0	28837	0	37786	6629	0	0	663	0	0	0	331	994	2652	4972	0	1326	0	0	6298	31157	31488	3646	0	663	5303	0	663	33477	0	0	0	663	0	0	2320	0	0	5966	994	0	0	0	331	0	331	1326	0	0	18561	0	0	0	0	331	331	0	0	1989	0	2320	2652	2652	1326	0	2983	663	0	0	0	0	0	0	6298	3315	32483	2320	0	0	2652	0	0	0	331	1326	0	0	1989	3646	0	0	0	0	0	1326	0	0	0	3315	0	55684	57342	30825	37123	119655	87504	2652	38449	8286	994	8949	0	0	15578	331	9944	0	3646	663	1989	0	0
"SB071116TAWCSCB22D11BR1TR1I144"	0	0	1326	0	331	33146	0	9281	14253	5303	0	49718	28837	331	331	994	0	0	994	0	0	0	0	5635	1326	1989	0	0	1326	78555	32151	0	0	0	0	0	9612	331	0	0	0	207159	0	663	0	0	0	6961	331	5966	331	0	0	0	0	0	0	0	0	0	2652	60325	4972	0	663	663	5635	0	5303	331	0	0	0	0	331	0	0	0	0	0	0	2652	0	0	0	17899	0	0	0	0	663	0	0	331	663	0	2983	0	331	0	7955	0	0	0	0	0	17567	5303	94796	18230	46404	5635	5635	1989	0	4309	994	0	0	0	0	0	0	0	0	0	0	0
"SB071116TAWCSCB33CD24BR1TR2I611"	994	11269	0	54359	57673	1326	0	30825	994	6629	3646	0	0	15578	18230	0	0	663	994	11932	2320	0	0	0	331	9281	0	4309	994	0	663	2983	0	0	15247	0	663	663	0	0	0	23865	0	663	0	0	0	1657	4640	994	0	0	0	0	0	331	7292	331	0	0	0	0	20550	0	1326	0	20882	994	12595	5635	0	2320	0	0	331	0	0	0	0	2320	331	5966	1989	0	0	13921	0	0	0	0	994	0	663	3646	0	0	0	0	0	0	331	0	0	0	1989	0	59993	26516	71594	47730	87173	22539	16904	52370	5635	0	3315	0	0	0	0	331	0	0	0	0	0	0
"SB071116TAWCSCB33CD24BR1TR1I148"	123633	0	60988	84853	994	0	0	663	0	17567	5966	3646	0	11269	0	0	0	0	20550	0	0	0	0	0	0	994	994	36460	0	0	0	7292	0	0	1989	6629	0	0	0	331	0	0	0	0	1657	0	0	0	0	0	0	0	3315	0	0	16241	0	0	0	0	0	0	0	663	0	331	0	0	0	0	0	0	0	0	1326	0	23533	0	0	0	331	58005	331	0	6629	0	0	0	0	7623	0	0	0	0	4309	0	0	0	0	3646	0	3315	0	0	331	0	54027	28174	50050	9612	82532	35466	3977	24528	0	0	0	2983	0	1326	0	5635	0	0	0	0	0	0
"SB071116TAWCSCB22D11BR2TR1I145"	0	0	1326	0	331	24859	0	7955	12264	4640	0	41100	30825	331	0	1989	663	0	0	331	0	994	0	5966	1326	1326	0	0	0	72589	49055	0	0	0	0	0	6298	1326	0	0	0	197216	0	663	0	0	1326	9612	0	3315	0	0	0	0	0	0	0	0	0	0	1657	64634	2983	0	994	331	3315	0	7292	0	0	0	0	0	331	0	0	0	0	0	0	2983	0	0	0	20550	0	0	0	0	0	0	0	0	331	0	2652	0	0	0	7955	0	0	0	331	0	22539	5635	90156	18230	56016	5303	2320	4309	0	2983	331	0	331	0	0	0	0	0	0	0	0	0
"SB071116TAWCSCB44D30BR1TR1I152"	4972	0	2320	130262	1326	331	0	29168	0	11932	4972	1326	0	6961	6629	0	0	663	994	5303	2652	0	0	0	0	13590	2652	11269	0	0	663	1326	0	663	27842	663	0	663	0	0	2652	10607	331	1326	1326	0	0	331	331	994	0	331	331	0	0	1989	1326	0	0	0	0	663	7623	0	994	0	9944	2983	7623	5635	0	3315	0	0	663	0	663	0	0	8618	331	12927	2320	0	331	7292	0	0	0	0	2652	0	0	1326	663	0	0	994	0	663	331	0	0	0	5966	1989	61319	47398	29168	25853	159098	57342	12264	26848	7623	0	331	0	0	0	0	663	0	331	0	0	0	0
"SB071116TAWCSCB51D33BR1TR1I153"	1326	12595	0	198210	2983	0	2320	21213	0	9281	5635	0	0	3977	19556	0	0	663	0	5303	2320	0	0	0	331	10607	2983	12264	663	0	1326	2320	0	663	29168	0	0	331	0	0	331	3977	0	994	1989	0	0	0	331	331	0	0	0	0	0	331	663	0	0	0	0	0	6298	0	1989	0	4972	331	1326	3977	0	3315	0	0	331	0	0	0	0	5635	331	13590	1657	0	0	5966	0	0	0	0	7623	0	0	2320	0	0	0	0	0	663	0	0	0	0	3977	663	54690	47067	25853	28174	115346	50713	10275	43421	5966	994	3977	331	0	1657	0	331	0	0	0	0	0	0
"SB071116TAWCSCB52D29BR1TR2I619"	3646	9612	331	24196	0	0	994	29831	0	34803	7623	0	0	331	0	0	0	663	0	3315	663	0	663	0	331	9612	11601	24196	3646	0	663	5966	0	994	23202	0	0	331	0	0	331	6298	0	994	1989	0	0	663	0	1657	0	0	994	0	0	5303	0	0	0	0	331	663	994	0	1989	331	994	663	3315	2652	0	2320	0	0	663	0	0	0	0	8618	994	29831	1989	0	0	5966	0	0	0	0	1657	0	0	994	331	0	0	331	0	994	1326	0	331	0	4309	0	65297	73583	27511	39112	142526	76235	4640	50050	8286	663	5303	994	0	6961	0	2983	0	2983	331	0	0	0
"SB071116TAWCSCB43CD26BR1TR1I151"	17236	0	10275	123633	663	0	0	29168	0	11601	2652	0	0	8949	4309	0	0	0	1989	994	0	0	0	0	0	22207	2320	2983	0	0	0	663	0	0	16573	0	0	2320	0	0	0	7292	994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13590	0	0	0	7955	994	0	7623	0	1326	0	0	0	0	3977	0	0	18230	0	24528	0	0	4309	10275	0	0	0	0	1989	0	0	3977	994	0	0	0	0	0	0	1326	0	0	7623	1657	65628	64302	47067	33808	71926	75572	9612	57342	7623	0	663	0	0	0	0	0	0	0	0	0	0	0
"SB071316TAWCSCB22D11BR2TR2I613"	0	5303	1657	0	0	30825	994	4309	16573	4640	0	51376	42095	0	331	1326	0	0	994	331	0	1989	0	7955	1657	663	0	0	0	63308	24196	0	0	0	331	0	6298	663	0	0	0	213126	0	0	0	0	1326	15910	0	2320	0	0	0	0	0	0	0	0	0	0	4309	60656	3646	0	663	331	6629	0	7955	0	0	0	0	0	331	0	0	0	0	331	0	3646	0	0	0	23865	0	0	0	0	0	0	0	0	663	0	4972	0	663	0	9612	0	0	0	0	0	12264	4309	98774	15578	37123	1657	4309	2983	0	2652	331	0	331	0	0	0	0	0	0	0	0	0
"SB081216TAWCSCB51D33BR1TR1I186"	48061	0	19887	55022	216772	0	0	1657	663	4972	0	6961	0	175671	331	0	0	0	31488	331	0	2652	0	994	0	331	0	9281	0	994	0	5635	0	0	2983	331	0	1657	0	0	0	994	15578	0	994	0	0	663	1326	331	0	0	0	0	0	1326	0	8618	0	1326	0	0	25522	0	0	663	4640	0	663	994	0	663	0	0	0	0	1657	2320	331	0	0	10275	331	0	0	3315	0	0	0	0	1326	0	0	0	331	0	0	0	0	0	994	2983	0	0	0	0	24859	9281	88499	10607	24859	14915	6629	17899	1989	331	663	994	0	1989	0	663	0	0	0	0	0	0
"SB081216TAWCSCB54D25BR2TR1I191"	105403	0	52701	9612	331	0	0	5635	1989	14253	28174	2320	0	1989	0	0	0	0	12927	0	3646	1326	1326	3315	0	994	7623	42758	0	663	0	7955	0	0	12264	8618	0	0	0	663	9612	0	0	0	27179	0	0	0	0	0	0	0	3646	0	0	3315	0	0	331	0	0	0	0	663	0	0	0	3977	663	0	1989	0	4640	17236	0	0	40769	0	0	0	0	47398	0	0	17567	331	0	0	1326	3977	0	0	0	0	331	0	0	0	1657	3646	1326	11932	0	0	0	994	46735	23865	34803	7955	82532	38449	994	13590	0	663	0	2983	0	663	0	0	0	1326	9612	0	0	10607
"SB081216TAWCSCB53D25BR2TR2I189"	116672	8618	58005	91813	1326	2320	663	1326	0	16573	4309	5303	0	14253	0	0	0	0	22539	663	0	0	0	0	0	0	1989	34803	0	0	0	14253	0	0	1657	4640	0	0	331	1326	1326	663	0	0	7955	663	0	331	0	0	0	331	1989	0	0	14915	0	331	0	0	0	0	663	994	0	994	0	0	0	331	0	331	3646	0	0	0	19556	0	0	331	663	42758	0	663	7292	1657	0	0	0	1657	0	0	0	331	5635	663	0	0	0	2983	0	3977	0	0	994	1657	41432	18561	48061	12264	80212	37454	4309	26516	331	1326	663	1657	0	1326	0	4640	0	331	0	1326	0	0
"SB081216TAWCSCB53D25BR2TR1I189"	139211	0	58336	82532	663	663	331	331	0	16241	5303	2983	0	11932	0	0	0	663	21545	0	0	0	0	0	0	663	1657	30494	0	0	0	11932	0	0	994	2652	0	0	0	331	663	0	331	0	8949	0	0	0	0	0	0	0	3977	0	0	18561	0	331	0	0	0	0	994	994	663	331	0	0	0	0	0	0	1989	0	0	0	22870	0	331	0	994	44746	0	0	5635	994	0	0	0	1326	0	0	0	0	2652	331	0	331	0	5303	0	2320	0	0	663	0	51044	33477	42758	15578	88499	32814	1989	26516	331	0	0	994	0	1326	0	4309	0	0	0	663	0	0
"SB081216TAWCSCB54D25BR1TR1I190"	119987	0	65960	13921	663	1326	0	1326	0	14584	11269	3646	0	1989	331	0	0	0	20219	0	331	0	331	0	0	0	3315	31488	0	0	0	10275	0	0	1989	7292	0	0	0	663	11932	0	663	0	15247	0	0	0	1326	331	0	0	2652	0	0	5303	1326	0	0	0	0	663	994	1326	0	994	331	0	994	331	0	0	6961	0	1989	0	51044	0	331	0	0	39775	0	331	25191	331	0	0	5635	3646	0	663	0	0	0	0	0	0	0	1989	663	14915	0	0	0	1989	49055	25191	39443	13921	96453	32151	1326	15578	0	0	0	1326	0	2983	663	331	0	994	0	331	0	0
"SB081216TAWCSCB61D11BR1TR1I192"	130262	0	38780	10607	0	994	0	0	0	29831	1989	0	0	8618	1326	0	0	0	27511	0	0	0	0	0	0	0	0	43089	0	0	0	0	0	0	4972	0	0	0	0	6298	7955	5303	0	0	8949	0	0	0	0	0	0	0	994	0	0	6629	663	0	0	0	0	1989	0	0	0	3315	0	0	0	0	0	0	6298	0	0	0	50050	0	0	0	0	34803	0	0	17899	663	0	0	0	2652	0	0	0	0	331	0	0	663	0	0	0	12927	0	0	2983	2320	53364	16241	42095	15578	71263	47398	2652	29500	0	0	1326	3646	0	1989	0	0	0	0	0	0	0	0
"SB081216TAWCSCB64D10BR2TR1I199"	145509	0	47067	4640	0	0	0	0	0	55022	0	994	0	1989	0	0	0	0	24859	0	0	0	0	0	0	1326	0	21213	0	0	0	2652	0	0	2983	0	0	0	0	4309	663	1657	0	0	2983	0	0	0	0	0	0	0	8949	0	0	1989	0	0	0	0	0	0	0	0	0	994	0	0	0	0	0	0	0	0	0	0	25522	0	331	0	0	27511	0	0	8949	2983	0	0	0	1989	0	0	0	0	0	0	0	0	0	0	663	11932	0	0	4309	0	63971	20219	51044	20882	55684	51376	4640	29831	0	1657	663	10938	0	0	0	0	0	0	0	0	0	0
"SB081216TAWCSCB62D9BR2TR1I195"	120318	0	33477	16241	7955	0	0	2652	0	30494	11269	0	0	5966	0	0	0	1326	16904	663	0	0	0	0	0	2652	1657	46404	0	0	0	9612	0	0	8618	0	0	0	0	1657	3646	1326	8286	0	16904	0	0	0	2652	0	0	0	663	0	0	2320	663	0	0	331	0	663	2320	0	0	331	0	0	331	0	0	0	1657	0	0	0	38780	0	0	0	0	43089	0	0	27842	2652	0	0	0	1657	0	0	0	663	0	0	0	0	0	0	0	11601	0	0	2983	0	63971	25853	47730	12264	53364	46404	1989	24528	0	0	1326	5303	0	0	0	0	0	0	0	0	0	0
"SB081216TAWCSCB63D11BR2TR1I196"	123964	0	38117	10607	0	1657	0	4972	0	18893	12927	3977	0	1989	0	0	0	663	12264	663	994	0	331	0	0	0	3977	50713	0	0	0	13590	0	0	8618	4640	0	0	331	1989	22539	0	0	0	38117	0	0	0	0	0	0	331	1989	0	0	6629	0	0	994	0	0	0	0	331	0	2983	0	994	0	331	1989	331	8949	0	5966	0	29831	0	994	0	0	35466	0	0	35134	2320	0	0	663	4972	0	0	0	0	1989	331	0	331	0	2983	663	4640	663	0	663	663	45741	14584	26848	13258	71926	39775	2320	15247	1326	2652	331	3646	0	3977	331	663	331	3315	663	3315	0	0
"SB081216TAWCSCB72D20BR2TR1I203"	78555	0	21545	8286	0	0	0	8949	663	20882	19556	0	0	0	0	0	0	663	3977	0	0	0	1657	0	0	1989	14915	69606	0	0	0	17236	0	0	29168	0	0	0	0	331	32814	0	0	0	65297	0	0	0	0	0	0	0	663	0	0	11269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7955	0	663	0	20219	0	0	1326	0	34471	0	0	56679	0	0	0	0	5635	0	0	0	1326	1989	0	0	0	663	0	0	994	2983	0	994	331	47398	18893	19887	10607	76566	50713	0	18893	0	0	0	0	0	4640	331	0	0	4640	663	0	0	0
"SB081216TAWCSCB72D20BR1TR1I204"	81869	0	53033	3315	0	663	1326	994	0	60325	331	7292	0	2320	0	663	0	0	12264	663	0	0	0	0	0	1326	5966	19556	0	0	994	8618	0	0	663	7292	0	994	331	1326	0	5966	0	0	0	0	1657	0	0	0	0	0	2652	0	1657	0	0	0	0	0	0	994	0	994	331	1989	0	0	1326	0	0	331	0	0	0	0	1657	0	4309	0	0	22207	0	1326	331	1326	0	0	0	331	0	0	0	994	0	663	0	0	0	994	663	0	0	0	3977	663	87836	28174	19224	26516	122970	51376	7955	26516	4972	8949	1326	7955	0	0	0	0	0	663	0	0	0	0
"SB081216TAWCSCB73D12BR1TR1I205"	97448	0	37123	331	0	331	0	3646	2983	14584	8286	2320	0	994	0	0	0	331	5966	0	1657	2652	331	1657	0	331	0	36129	0	1657	0	14253	0	331	10938	1989	0	663	331	1657	14584	1657	0	0	107723	0	331	331	331	331	0	663	3315	0	994	7292	0	0	0	0	0	0	0	0	0	331	331	331	331	0	15578	0	16241	0	21213	0	16241	0	0	994	0	12927	0	331	81206	331	0	0	4309	21545	0	0	0	0	994	0	0	331	0	1657	1326	994	331	0	663	3646	34140	17899	18230	12927	38449	29500	663	12264	0	2320	331	331	0	663	331	331	0	2652	0	3315	0	663
"SB081216TAWCSCB43CD26BR1TR1I184"	15910	0	5303	63971	132251	331	0	14253	331	10607	994	1657	0	23533	663	0	0	0	14584	3646	331	0	0	0	331	2652	1326	10275	0	0	994	1989	0	0	10938	331	663	663	0	994	2652	10607	74577	1326	994	0	663	331	32483	994	0	0	994	0	0	3315	4640	331	0	8286	663	331	27511	0	1989	0	3646	663	5303	3315	0	663	0	0	0	0	3646	331	331	0	0	9281	1989	0	0	5966	0	0	0	0	3646	0	0	1326	0	0	0	663	0	1657	2320	0	0	0	2320	3315	34471	15578	45409	14915	102088	12595	6629	19556	4640	331	994	1326	0	331	0	663	0	0	0	0	0	0
