"Chao1"	"ACE"	"InvSimpson"	"ENSpie"	"FaithsPD"	"Observed.ASVs"
"SB041117TAWCSCB72D20BR1TR1I316"	323.634146341463	321.71073737222	47.1535658374914	47.1535658374914	32.301104	276
"SB041117TAWCSCB63D10BR2TR1I313"	340.25641025641	335.592869483217	40.4318884823453	40.4318884823453	30.148976	271
"SB041117TAWCSCB73D12BR1TR1I308"	292.181818181818	286.001189867024	53.6534568526407	53.6534568526407	30.192129	252
"SB041117TAWCSCB71D20BR2TR1I315"	250.977272727273	256.904033574755	40.6094620126166	40.6094620126166	29.531865	235
"SB041117TAWCSCB73D12BR1TR1I317"	364.466666666667	362.748178914616	47.0348661705183	47.0348661705183	34.415406	296
"SB041117TAWCSCB72D20BR1TR1I307"	228.344827586207	228.071529690848	25.7718564262228	25.7718564262228	30.496569	209
"SB041117TAWCSCB71D20BR1TR1I306"	221.6875	224.180643606606	26.9406026485906	26.9406026485906	26.851429	202
"SB041117TAWCSCB31D13BR1TR1I289"	294.636363636364	294.951316862244	73.4446311050945	73.4446311050945	33.343659	256
"SB041117TAWCSCB54D25BR1TR1I300"	157.142857142857	157.205329096972	9.20252083237538	9.20252083237538	20.321367	135
"SB041117TAWCSCB53D5BR1TR1I284"	173.789473684211	174.002335537652	20.6734621732613	20.6734621732613	21.284751	158
"SB041117TAWCSCB51D33BR1TR1I296"	306.522727272727	309.165709211433	46.6344637244393	46.6344637244393	32.657935	274
"SB041117TAWCSCB44D31BR1TR1I295"	345	334.27425060655	44.1252174168671	44.1252174168671	35.781087	293
"SB041117TAWCSCB43CD27BR1TR1I294"	306.121951219512	307.792458485452	30.8164018792323	30.8164018792323	29.811878	260
"SB041117TAWCSCB42CD26BR1TR1I293"	300.12	281.977471793665	41.7066135030125	41.7066135030125	28.899052	245
"SB041117TAWCSCB33CD24BR1TR1I291"	232.622222222222	241.351657296226	22.2222795229835	22.2222795229835	24.776327	217
"SB041117TAWCSCB33CD5BR1TR1I286"	163	162.935269964368	47.4167258980798	47.4167258980798	23.987406	155
"SB041117TAWCSCB32D10BR2TR1I290"	294.965517241379	284.665623688685	28.2929098088988	28.2929098088988	32.874948	251
"SB041117TAWCSCB22D11BR2TR1I288"	102.5	102.860847496814	17.6529757786145	17.6529757786145	16.521148	100
"SB041117TAWCSCB54D25BR2TR1I310"	287.333333333333	279.167158589609	51.9805895288502	51.9805895288502	32.24853	260
"SB050817TAWCSCB71D20BR2TR1I349"	408.958333333333	441.782510590629	59.5127239326236	59.5127239326236	42.195122	336
"SB050817TAWCSCB61D11BR1TR1I336"	307.275	314.450464819094	46.8435531606131	46.8435531606131	33.324829	252
"SB050817TAWCSCB61D11BR1TR1I345"	308.162790697674	315.605985679931	50.6390380495595	50.6390380495595	35.445097	267
"SB050817TAWCSCB62D9BR1TR1I337"	354.486486486486	353.135200868191	37.0332336843664	37.0332336843664	32.988355	258
"SB050817TAWCSCB62D9BR1TR1I346"	443.428571428571	460.006748212515	62.2094578259158	62.2094578259158	39.56159	350
"SB050817TAWCSCB73D12BR1TR1I351"	423.416666666667	427.193771311235	76.5966217882749	76.5966217882749	39.150463	349
"SB050817TAWCSCB72D20BR1TR1I341"	282.871794871795	293.205246365591	40.3333840896775	40.3333840896775	32.281101	239
"SB050817TAWCSCB72D20BR1TR1I350"	279.166666666667	284.353279618826	49.6228476656987	49.6228476656987	31.5254	250
"SB050817TAWCSCB73D12BR1TR1I342"	330.65	327.710667522473	60.5889424855861	60.5889424855861	38.042436	272
"SB050817TAWCSCB71D20BR1TR1I340"	258.45	271.551312863592	42.8826560007618	42.8826560007618	30.336191	224
"SB050817TAWCSCB63D10BR1TR1I338"	346.375	359.04374004194	41.9127446189645	41.9127446189645	33.735435	272
"SB050817TAWCSCB54D25BR1TR1I343"	339.275862068966	350.750823919449	52.0532959569979	52.0532959569979	38.998037	300
"SB050817TAWCSCB63D10BR2TR1I347"	327.977272727273	326.3043887667	54.6179051615916	54.6179051615916	33.472297	285
"SB050817TAWCSCB53D25BR2TR1I333"	366.551724137931	384.885605410238	50.9513116877974	50.9513116877974	38.958758	305
"SB050817TAWCSCB22D11BR1TR1I322"	178.636363636364	180.452697764639	26.2731844928132	26.2731844928132	27.977613	165
"SB050817TAWCSCB31D13BR1TR1I323"	307.018181818182	320.450535068793	50.0931724003671	50.0931724003671	37.666339	278
"SB050817TAWCSCB32D10BR2TR1I324"	349.025	342.719826533932	43.448270704985	43.448270704985	34.822652	272
"SB050817TAWCSCB33CD5BR1TR1I320"	325.6	325.160322712511	46.8377062736308	46.8377062736308	34.310796	238
"SB050817TAWCSCB33CD24BR1TR1I325"	261.166666666667	267.992564253065	31.3565228593413	31.3565228593413	32.702444	232
"SB050817TAWCSCB54D25BR1TR1I334"	255.09756097561	265.701411771739	31.5046053529138	31.5046053529138	30.781387	224
"SB050817TAWCSCB43CD27BR1TR1I328"	327.216216216216	318.405762649699	49.9348562557179	49.9348562557179	35.746974	271
"SB050817TAWCSCB44D31BR1TR1I329"	292.5625	298.351174392244	41.8967560954051	41.8967560954051	33.277919	266
"SB050817TAWCSCB51D33BR1TR1I330"	363.2	365.151274565184	45.97220534862	45.97220534862	35.743064	300
"SB050817TAWCSCB53D5BR1TR1I318"	325.444444444444	297.202208912017	30.1424822863569	30.1424822863569	29.914996	236
"SB050817TAWCSCB42CD26BR1TR1I327"	299.395833333333	311.992758800901	34.8914282393507	34.8914282393507	33.183303	260
"SB060517TAWCSCB71D20BR1TR1I383"	338.538461538462	342.336157982782	43.5339604491645	43.5339604491645	37.885226	288
"SB060517TAWCSCB54D25BR1TR1I368"	360.333333333333	357.833330965909	62.5742643738058	62.5742643738058	39.741613	297
"SB060517TAWCSCB54D25BR1TR1I377"	354.695652173913	355.448782717581	35.6773627435833	35.6773627435833	38.218595	286
"SB060517TAWCSCB71D20BR1TR1I374"	246.666666666667	248.490975250647	37.0463346510298	37.0463346510298	31.462447	218
"SB060517TAWCSCB61D11BR1TR1I370"	255.636363636364	255.433321353031	43.1266119802516	43.1266119802516	31.784481	220
"SB060517TAWCSCB73D12BR1TR1I385"	384.122448979592	379.898191153489	76.4107565563408	76.4107565563408	47.238669	339
"SB060517TAWCSCB62D9BR1TR1I371"	259.243243243243	263.894622053634	41.6352730147429	41.6352730147429	32.293169	222
"SB060517TAWCSCB62D9BR1TR1I380"	342.033898305085	356.976869052393	48.2318782367464	48.2318782367464	37.731363	295
"SB060517TAWCSCB63D10BR1TR1I372"	254	244.314118010148	34.6612618298958	34.6612618298958	31.160988	203
"SB060517TAWCSCB63D10BR1TR1I381"	374.448979591837	371.252968036538	48.9188054383192	48.9188054383192	36.608889	305
"SB060517TAWCSCB53D25BR2TR1I367"	322.936170212766	328.387392228666	52.404039404854	52.404039404854	38.302756	284
"SB060517TAWCSCB61D11BR1TR1I379"	438.731707317073	411.88924906038	32.6048034697357	32.6048034697357	36.718573	303
"SB060517TAWCSCB53D5BR1TR1I352"	363.103448275862	371.14798884792	48.1771792334234	48.1771792334234	43.049873	303
"SB060517TAWCSCB73D12BR1TR1I376"	303.622222222222	314.675860380707	44.9098710948214	44.9098710948214	35.274337	253
"SB060517TAWCSCB31D13BR1TR1I357"	275.357142857143	281.29534761735	33.5440269961227	33.5440269961227	36.551953	240
"SB060517TAWCSCB22D11BR2TR1I356"	332.722222222222	339.569671651232	41.9905211281396	41.9905211281396	40.703242	288
"SB060517TAWCSCB44D31BR1TR1I363"	356.962264150943	361.956522832477	42.4597066574889	42.4597066574889	39.494496	306
"SB060517TAWCSCB44D5BR1TR1I353"	382.34375	352.443224053885	48.1926474916388	48.1926474916388	38.829146	276
"SB060517TAWCSCB51D33BR1TR1I364"	306.166666666667	306.326804657491	38.0370783337346	38.0370783337346	34.739436	257
"SB060517TAWCSCB43CD27BR1TR1I362"	357	357.988489651047	46.1929115482266	46.1929115482266	36.8448	276
"SB060517TAWCSCB42CD26BR1TR1I361"	268.025641025641	271.796857157338	48.5763191818726	48.5763191818726	34.899241	247
"SB060517TAWCSCB33CD24BR1TR1I359"	431	437.180216762421	60.1261875354675	60.1261875354675	41.939184	326
"SB060517TAWCSCB33CD5BR1TR1I354"	316.090909090909	305.001297309349	41.01859181359	41.01859181359	36.112488	255
"SB060517TAWCSCB32D10BR2TR1I358"	412.052631578947	420.204369828823	74.4759230928261	74.4759230928261	38.154281	337
"SB062617TAWCSCB44D31BR1TR1I363"	345.275862068966	354.132016447067	59.3089253139632	59.3089253139632	46.721799	306
"SB062617TAWCSCB43CD27BR1TR1I362"	376.807692307692	382.203116034981	73.253467053838	73.253467053838	47.896193	322
"SB062617TAWCSCB53D25BR1TR1I366"	439.620689655172	447.453405529686	52.0250304721303	52.0250304721303	47.975492	340
"SB062617TAWCSCB31D13BR1TR1I357"	388.222222222222	376.31673771133	40.9600132803937	40.9600132803937	42.070788	307
"SB071017TAWCSCB73D12BR1TR1I419"	397.161764705882	410.76459040449	92.8788841334502	92.8788841334502	39.831091	353
"SB071017TAWCSCB73D12BR1TR1I410"	339.022222222222	343.421574350823	31.5288699530533	31.5288699530533	39.273569	274
"SB071017TAWCSCB72D20BR1TR1I409"	276.5	281.576130046404	39.1481858212816	39.1481858212816	36.999317	253
"SB071017TAWCSCB63D10BR1TR1I406"	264.129032258065	259.45218601539	23.103862187504	23.103862187504	33.15568	223
"SB071017TAWCSCB62D9BR1TR1I405"	331.632653061224	338.691286678579	33.7095091048603	33.7095091048603	36.814368	278
"SB071017TAWCSCB61D11BR1TR1I404"	277.8	284.56096116386	30.2199587269097	30.2199587269097	35.560127	246
"SB071017TAWCSCB71D20BR1TR1I417"	390.018518518519	385.997776319779	81.4499371444592	81.4499371444592	45.792871	344
"SB071017TAWCSCB71D20BR1TR1I408"	377.023255813953	369.952396941856	38.7583264116921	38.7583264116921	39.53353	288
"SB071017TAWCSCB54D25BR2TR1I412"	424.385964912281	428.112227126189	67.1673590238882	67.1673590238882	44.984108	341
"SB071017TAWCSCB54D25BR1TR1I402"	314.785714285714	293.159217137851	26.4436728689591	26.4436728689591	34.738212	231
"SB071017TAWCSCB44D31BR1TR1I397"	442.909090909091	435.958940262996	84.9646782456107	84.9646782456107	47.275508	360
"SB071017TAWCSCB51D33BR1TR1I398"	358.8	369.143429999819	61.1766691800317	61.1766691800317	43.419991	315
"SB071017TAWCSCB31D13BR1TR1I391"	306.170731707317	305.196723752915	27.0565044057694	27.0565044057694	35.505686	257
"SB071017TAWCSCB32D10BR1TR1I392"	387.142857142857	372.124347645272	69.122203375521	69.122203375521	47.546935	310
"SB071017TAWCSCB33CD5BR1TR1I388"	339.0625	340.857214927927	49.829315524768	49.829315524768	42.463165	293
"SB071017TAWCSCB22D11BR2TR1I390"	210.322580645161	215.739251494452	16.1189014950163	16.1189014950163	28.885366	190
"SB071017TAWCSCB42CD26BR1TR1I395"	395.448979591837	392.72341594842	42.0772350316537	42.0772350316537	49.239343	326
"SB071017TAWCSCB43CD27BR1TR1I396"	498.388888888889	477.190301750693	46.2351234938677	46.2351234938677	53.743497	377
"SB071017TAWCSCB44D5BR1TR1I387"	280.7	273.841131459149	35.9703362583026	35.9703362583026	34.219861	233
"SB071017TAWCSCB33CD24BR1TR1I393"	482.288461538462	471.876713655881	13.396623920245	13.396623920245	45.13723	338
"SB080717TAWCSCB61D11BR1TR1I447"	398.553191489362	387.577578744541	44.7625487710927	44.7625487710927	45.5018	333
"SB080717TAWCSCB53D5BR1TR1I420"	280.571428571429	278.094698789951	43.4336029245096	43.4336029245096	39.805893	251
"SB080717TAWCSCB54D25BR2TR1I437"	210	206.219600347527	45.7889569616392	45.7889569616392	38.668024	195
"SB080717TAWCSCB54D25BR2TR1I446"	443.615384615385	441.685157159398	65.5291665150799	65.5291665150799	48.084699	382
"SB080717TAWCSCB71D20BR1TR1I442"	345.255319148936	350.440844368815	40.3749725408973	40.3749725408973	39.288693	283
"SB080717TAWCSCB71D20BR1TR1I451"	472.904761904762	461.019700301807	59.1569899959932	59.1569899959932	47.265653	376
"SB080717TAWCSCB62D9BR1TR1I439"	415.111111111111	425.029268826351	34.7452401804005	34.7452401804005	42.736964	314
"SB080717TAWCSCB73D12BR1TR1I453"	439.021276595745	427.371404841095	78.2157925362375	78.2157925362375	41.424292	342
"SB080717TAWCSCB63D10BR1TR1I440"	335.517857142857	340.775463617366	38.7156724085307	38.7156724085307	47.229083	306
"SB080717TAWCSCB72D20BR1TR1I443"	347.018518518519	354.404737308146	49.9121632481143	49.9121632481143	41.559792	297
"SB080717TAWCSCB63D10BR1TR1I449"	413.438356164384	426.866821872384	54.9290423708655	54.9290423708655	45.553742	361
"SB080717TAWCSCB72D20BR1TR1I452"	450.327868852459	446.196158031766	75.299122931699	75.299122931699	47.223228	389
"SB080717TAWCSCB73D12BR1TR1I444"	425.904761904762	437.468077670467	39.660560074336	39.660560074336	42.530194	352
"SB080717TAWCSCB51D33BR1TR1I432"	558.537313432836	555.147541325628	51.60884215352	51.60884215352	48.420997	407
"SB080717TAWCSCB62D9BR1TR1I448"	418.022222222222	401.608855475316	51.7773734168118	51.7773734168118	44.937931	325
"SB080717TAWCSCB44D31BR1TR1I431"	494.901408450704	493.081355532203	71.8061648368296	71.8061648368296	52.656366	418
"SB080717TAWCSCB31D13BR1TR1I425"	401.631578947368	400.490394984286	53.6835200076299	53.6835200076299	48.873291	336
"SB080717TAWCSCB44D5BR1TR1I421"	354	358.259937410381	34.9865818742643	34.9865818742643	40.047816	282
"SB080717TAWCSCB32D10BR1TR1I426"	373.833333333333	372.443301486117	63.4149503228487	63.4149503228487	46.699679	308
"SB080717TAWCSCB33CD5BR1TR1I422"	357.5625	359.827943231544	57.5790769191425	57.5790769191425	42.318073	295
"SB080717TAWCSCB33CD24BR1TR1I427"	424.470588235294	436.56485194943	49.3752761802422	49.3752761802422	50.035392	356
"SB080717TAWCSCB42CD26BR1TR1I429"	413.052631578947	413.360617716994	53.7848308399773	53.7848308399773	42.721906	338
"SB080717TAWCSCB43CD27BR1TR1I430"	402.75	413.447299811179	43.0235994401104	43.0235994401104	47.006389	349
"SB080717TAWCSCB22D11BR1TR1I423"	316.081081081081	308.548639594076	28.393169372204	28.393169372204	37.934244	247
"X95_FiltCtrl_Surface_R1"	374.512195121951	364.995379474653	19.0298315714295	19.0298315714295	39.741897	279
"SB082817TAWCSCB54D25BR1TR1I470"	359.269230769231	364.755905964953	29.2331445264952	29.2331445264952	42.055593	303
"SB082817TAWCSCB53D25BR1TR1I468"	412.363636363636	429.807952923844	68.3987954643842	68.3987954643842	46.31084	366
"SB082817TAWCSCB73D12BR1TR1I478"	375.417910447761	387.735232639369	50.8701529041624	50.8701529041624	44.181756	334
"SB082817TAWCSCB44D5BR1TR1I455"	446.20253164557	463.521991358082	57.7185659443836	57.7185659443836	48.276201	381
"SB082817TAWCSCB22D11BR2TR1I458"	334.333333333333	343.403574063486	50.0313932235969	50.0313932235969	42.833004	287
"SB082817TAWCSCB63D10BR1TR1I483"	494.27868852459	483.501736096573	76.1858118110836	76.1858118110836	48.209435	396
"SB082817TAWCSCB32D10BR1TR1I460"	395.75	390.353629893791	20.0052001075118	20.0052001075118	44.929561	317
"SB082817TAWCSCB63D10BR1TR1I474"	407.019230769231	403.537580290008	64.1704442623535	64.1704442623535	44.406366	330
"SB082817TAWCSCB44D31BR1TR1I465"	420.553846153846	422.416438104002	59.9341230492796	59.9341230492796	51.788902	363
"SB082817TAWCSCB31D13BR1TR1I459"	419.333333333333	432.332062851336	20.1778523114012	20.1778523114012	47.672539	331
"SB082817TAWCSCB62D9BR1TR1I473"	532.616438356164	542.32233590294	54.8227119159945	54.8227119159945	46.4553	405
"SB082817TAWCSCB62D9BR1TR1I482"	512.630136986301	510.005547629004	97.2874982445906	97.2874982445906	50.196066	429
"SB082817TAWCSCB42CD26BR1TR1I463"	504.518518518518	489.330681769462	43.2729085483925	43.2729085483925	48.280885	361
"SB082817TAWCSCB54D25BR2TR1I480"	434.258064516129	432.053223370371	78.1804852641174	78.1804852641174	48.557901	382
"SB082817TAWCSCB43CD27BR1TR1I464"	470.1	472.560139946191	37.6063278506437	37.6063278506437	50.11414	357
"SB082817TAWCSCB53D5BR1TR1I454"	365.448275862069	372.423131278424	65.4139834540265	65.4139834540265	44.920094	315
"SB082817TAWCSCB33CD24BR1TR1I461"	329.015384615385	342.631949975635	12.0425393361494	12.0425393361494	45.34946	295
"SB082817TAWCSCB33CD5BR1TR1I456"	308.181818181818	301.037123097392	59.5442019451368	59.5442019451368	38.942482	268
"SB082817TAWCSCB51D33BR1TR1I466"	321.666666666667	331.209772248384	34.4918749162214	34.4918749162214	44.149657	277
"SB091817TAWCSCB53D25BR2TR1I503"	479.584415584416	484.697811226525	79.2481807062468	79.2481807062468	51.154046	414
"SB091817TAWCSCB63D10BR1TR1I518"	487.661290322581	475.305354493752	110.269011790922	110.269011790922	51.419923	411
"SB091817TAWCSCB63D10BR1TR1I508"	434.779661016949	442.858169400346	67.474328141272	67.474328141272	46.977672	344
"SB091817TAWCSCB72D20BR1TR1I511"	404.015873015873	408.042405928511	72.8458153699315	72.8458153699315	46.951075	350
"SB091817TAWCSCB62D9BR1TR1I517"	526.185714285714	520.920852744425	72.8446369496817	72.8446369496817	48.990516	419
"SB091817TAWCSCB62D9BR1TR1I507"	366.873015873016	377.57135124369	68.6930399298272	68.6930399298272	43.624005	324
"SB091817TAWCSCB71D20BR1TR1I520"	483	466.001077134315	97.1888091512437	97.1888091512437	47.607195	403
"SB091817TAWCSCB71D20BR1TR1I510"	380	369.704160941698	67.9805931506125	67.9805931506125	42.827717	308
"SB091817TAWCSCB54D25BR2TR1I505"	195.333333333333	196.415239757419	49.8966774334739	49.8966774334739	38.116662	191
"SB091817TAWCSCB53D5BR1TR1I488"	412.620689655172	422.141445668079	63.5904748455428	63.5904748455428	42.863322	334
"SB091817TAWCSCB22D11BR2TR1I492"	370.018518518519	372.381640236448	59.5418399391756	59.5418399391756	44.720439	324
